LATITUDE,LONGITUDE,MAGNITUDE,DEPTH
30.1653,51.959,4.4,10.0
6.813,126.5685,4.5,10.0
32.5602,93.3544,4.7,10.0
29.1891,86.9874,4.2,2.847
1.3121,126.5097,4.3,72.007
38.9424,70.7548,4.1,10.0
12.8687,143.2703,4.8,113.722
38.9928,70.7482,4.3,10.0
36.6461,25.6709,4.4,10.0
35.437,139.9978,4.5,87.785
44.7699,79.7105,4.3,10.0
1.6553,128.6709,4.8,10.0
86.3227,35.1454,4.2,10.0
2.7233,128.4148,4.2,219.05
5.8631,124.1111,5.2,12.837
5.8424,124.172,5.2,15.243
5.7955,124.1064,5.9,17.877
40.632,83.8651,4.3,10.0
5.6367,126.4879,4.4,105.784
36.1759,71.2019,5.7,98.0
41.9424,144.2589,4.2,31.562
21.3597,120.2948,4.5,10.0
55.3625,164.4306,5.4,10.0
55.4967,164.3471,4.8,10.0
20.4174,96.1335,4.1,10.0
21.622,143.0976,4.4,297.007
36.5051,137.8813,5.2,10.0
22.6973,96.0694,4.3,10.0
24.3428,123.7837,4.4,15.538
22.1019,96.1062,4.5,10.0
0.3531,124.8385,5.6,10.0
2.348,96.02,4.1,10.0
34.1706,86.4226,4.1,10.0
11.7508,141.6119,4.9,38.462
36.1193,70.0002,4.3,141.407
22.2796,121.3919,4.1,9.956
5.5621,126.587,4.7,10.0
37.6137,16.1457,4.7,48.482
35.9389,70.564,5.6,99.0
28.258,88.0672,4.2,10.0
5.7983,124.2278,5.6,10.0
37.5793,71.8754,4.2,119.488
43.5194,147.6504,4.4,39.631
29.8077,139.0215,4.0,413.17
43.1298,146.0844,4.6,70.452
42.9581,109.1894,4.2,10.0
0.4975,126.1491,5.3,38.218
40.6132,140.3658,4.4,35.579
38.9067,70.3798,4.3,17.591
31.0348,131.589,4.5,35.0
19.8059,95.5564,4.7,7.649
31.0562,139.16,4.0,241.83
40.8147,36.1241,4.4,10.0
38.9098,70.7797,4.7,13.489
31.2516,93.7211,4.4,48.954
52.6496,158.8296,4.6,80.628
48.7055,149.779,5.9,382.253
38.98,70.7895,5.8,8.0
21.1538,96.0055,5.5,7.673
34.9354,142.0787,4.4,10.0
13.7282,144.9776,4.5,121.244
23.2469,124.6081,4.2,10.0
33.8085,72.5557,5.0,39.205
38.225,29.7272,4.5,10.0
